=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.05.23 15:31:47 =~=~=~=~=~=~=~=~=~=~=~=
Raw Z PID output32.46           ,PHI PID0.05           ,THETA PID output-0.02           ,255,0,0,255,-0.01,0.00, 
Raw Z PID output32.46           ,PHI PID0.05           ,THETA PID output-0.02           ,255,0,0,255,-0.01,0.00, 
Raw Z PID output32.47           ,PHI PID0.05           ,THETA PID output-0.02           ,255,0,0,255,-0.01,0.00, 
Raw Z PID output32.47           ,PHI PID0.05           ,THETA PID output-0.02           ,255,0,0,255,-0.01,0.00, 
Raw Z PID output32.47           ,PHI PID0.05           ,THETA PID output-0.02           ,255,0,0,255,-0.01,0.00, 
Raw Z PID output32.51           ,PHI PID0.05           ,THETA PID output-0.02           ,255,0,0,255,-0.01,0.00, 
Raw Z PID output32.51           ,PHI PID0.05           ,THETA PID output-0.02           ,255,0,0,255,-0.01,0.00, 
Raw Z PID output32.51           ,PHI PID0.05           ,THETA PID output-0.02           ,255,0,0,255,-0.01,0.00, 
Raw Z PID output32.54           ,PHI PID0.05           ,THETA PID output-0.02           ,255,0,0,255,-0.01,0.00, 
Raw Z PID output32.54           ,PHI PID0.05           ,THETA PID output-0.02           ,255,0,0,255,-0.01,0.00, 
Raw Z PID output32.56           ,PHI PID0.05           ,THETA PID output-0.02           ,255,0,0,255,-0.01,0.00, 
Raw Z PID output32.56           ,PHI PID0.05           ,THETA PID output-0.02           ,255,0,0,255,-0.01,0.00, 
Raw Z PID output32.56           ,PHI PID0.05           ,THETA PID output-0.02           ,255,0,0,255,-0.01,0.00, 
Raw Z PID output32.59           ,PHI PID0.05           ,THETA PID output-0.02           ,255,0,0,255,-0.01,0.00, 
Raw Z PID output32.59           ,PHI PID0.05           ,THETA PID output-0.02           ,255,0,0,255,-0.01,0.00, 
Raw Z PID output32.59           ,PHI PID0.05           ,THETA PID output-0.02           ,255,0,0,255,-0.01,0.00, 
Raw Z PID output32.63           ,PHI PID0.05           ,THETA PID output-0.02           ,255,0,0,255,-0.01,0.00, 
Raw Z PID output32.63           ,PHI PID0.05           ,THETA PID output-0.02           ,255,0,0,255,-0.01,0.00, 
Raw Z PID output32.63           ,PHI PID0.05           ,THETA PID output-0.02           ,255,0,0,255,-0.01,0.00, 
Raw Z PID output32.65           ,PHI PID0.05           ,THETA PID output-0.02           ,255,0,0,255,-0.01,0.00, 
Raw Z PID output32.65           ,PHI PID0.05           ,THETA PID output-0.02           ,255,0,0,255,-0.01,0.00, 
Raw Z PID output32.65           ,PHI PID0.05           ,THETA PID output-0.02           ,255,0,0,255,-0.01,0.00, 
Raw Z PID output32.69           ,PHI PID0.05           ,THETA PID output-0.02           ,255,0,0,255,-0.01,0.00, 
Raw Z PID output32.69           ,PHI PID0.05           ,THETA PID output-0.02           ,255,0,0,255,-0.01,0.00, 
Raw Z PID output32.69           ,PHI PID0.05           ,THETA PID output-0.02           ,255,0,0,255,-0.01,0.00, 
Raw Z PID output32.71           ,PHI PID0.05           ,THETA PID output-0.02           ,255,0,0,255,-0.01,0.00, 
Raw Z PID output32.71           ,PHI PID0.05           ,THETA PID output-0.02           ,255,0,0,255,-0.01,0.00, 
