t (sec);phi (degress);pid (PWM);;;
25;8;-30;;;
45;-1;-30;;;
66;-2;-30;;;
86;-3;-30;;;
106;-5;-30;;;
126;4;-26;;;
146;-2;-26;;;
166;-1;-26;;;
186;-4;-26;;;
206;-4;-26;;;
226;-8;-13;;;
246;-4;-13;;;
267;-6;-13;;;
287;-4;-13;;;
307;-1;-13;;;
327;-4;-17;;;
347;0;-17;;;
367;2;-17;;;
387;1;-17;;;
407;0;-17;;;
427;3;-25;;;
448;3;-25;;;
468;5;-25;;;
488;3;-25;;;
508;3;-25;;;
528;-3;-19;;;
548;1;-19;;;
568;-1;-19;;;
588;-2;-19;;;
608;0;-19;;;
628;1;-22;;;
649;-1;-22;;;
669;0;-22;;;
689;3;-22;;;
709;0;-22;;;
729;-2;-19;;;
749;2;-19;;;
769;3;-19;;;
789;0;-19;;;
809;-1;-19;;;
829;0;-21;;;
850;1;-21;;;
870;0;-21;;;
890;-4;-21;;;
910;2;-21;;;
930;1;-23;;;
950;-2;-23;;;
970;-5;-23;;;
990;0;-23;;;
1011;-2;-23;;;
1031;-4;-17;;;
1051;-7;-17;;;
1071;-5;-17;;;
1091;-6;-17;;;
1111;-5;-17;;;
1131;-5;-16;;;
1151;-7;-16;;;
1171;-10;-16;;;
1192;-7;-16;;;
1212;-8;-16;;;
1232;-5;-16;;;
1252;-7;-16;;;
1272;-4;-16;;;
1292;-7;-16;;;
1312;-8;-16;;;
1333;-10;-11;;;
1353;-9;-11;;;
1373;-11;-11;;;
1393;-11;-11;;;
1413;-10;-11;;;
1433;-10;-11;;;
1453;-7;-11;;;
1473;-9;-11;;;
1493;-9;-11;;;
1514;-8;-11;;;
1534;-6;-16;;;
1554;-8;-16;;;
1574;-7;-16;;;
1594;-11;-16;;;
1614;-9;-16;;;
1634;-10;-12;;;
1654;-6;-12;;;
1674;-9;-12;;;
1694;-9;-12;;;
1715;-9;-12;;;
1735;-8;-14;;;
1755;-8;-14;;;
1775;-8;-14;;;
1795;-8;-14;;;
1815;-10;-14;;;
1835;-9;-12;;;
1855;-9;-12;;;
1875;-9;-12;;;
1895;-6;-12;;;
1915;-8;-12;;;
1936;-9;-12;;;
1956;-12;-12;;;
1976;-9;-12;;;
1996;-7;-12;;;
2016;-9;-12;;;
2036;-6;-15;;;
2056;-11;-15;;;
2076;-7;-15;;;
2096;-5;-15;;;
2116;-8;-15;;;
2137;-11;-10;;;
2157;-9;-10;;;
2177;-7;-10;;;
2197;-9;-10;;;
2217;-12;-10;;;
2237;-8;-14;;;
2257;-8;-14;;;
2277;-8;-14;;;
2297;-8;-14;;;
2318;-10;-14;;;
2338;-8;-14;;;
2358;-6;-14;;;
2378;-8;-14;;;
2398;-8;-14;;;
2418;-11;-14;;;
2438;-8;-13;;;
2458;-9;-13;;;
2479;-10;-13;;;
2499;-10;-13;;;
2519;-9;-13;;;
2539;-5;-16;;;
2559;-7;-16;;;
2579;-8;-16;;;
2599;-11;-16;;;
2619;-9;-16;;;
2639;-9;-12;;;
2660;-9;-12;;;
2680;-11;-12;;;
2700;-7;-12;;;
2720;-6;-12;;;
2740;-7;-14;;;
2760;-11;-14;;;
2780;-8;-14;;;
2800;-5;-14;;;
2820;-5;-14;;;
2840;2;-24;;;
2861;-8;-24;;;
2881;-16;-24;;;
2901;-28;-24;;;
2921;-33;-24;;;
2941;-33;10;;;
2961;-43;10;;;
2981;-47;10;;;
3002;-54;10;;;
3022;-56;10;;;
3042;-58;33;;;
3062;-61;33;;;
3082;-63;33;;;
3102;-60;33;;;
3122;-63;33;;;
3143;-65;40;;;
3163;-58;40;;;
3183;-58;40;;;
3203;-58;40;;;
3223;-55;40;;;
3243;-52;28;;;
3263;-53;28;;;
3283;-43;28;;;
3304;-45;28;;;
3324;-43;28;;;
3344;-34;10;;;
3364;-30;10;;;
3384;-26;10;;;
3404;-19;10;;;
3424;-16;10;;;
3445;-13;-9;;;
3465;-7;-9;;;
3485;-1;-9;;;
3505;1;-9;;;
3525;1;-9;;;
3545;5;-27;;;
3565;4;-27;;;
3585;9;-27;;;
3605;12;-27;;;
3626;10;-27;;;
3646;12;-34;;;
3666;13;-34;;;
3686;9;-34;;;
3706;10;-34;;;
3726;12;-34;;;
3746;6;-27;;;
3766;10;-27;;;
3786;8;-27;;;
3807;2;-27;;;
3827;9;-27;;;
3847;2;-24;;;
3867;0;-24;;;
3887;5;-24;;;
3907;0;-24;;;
